				::: Log file created succesfully :::
[ 2020-04-30 18:28:27,211 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-04-30 18:28:27,218 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-04-30 18:28:42,162 ] | [ INFO ] | [ root ] | Programa finalizando
[ 2020-05-02 14:06:50,241 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:06:55,131 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:06:55,141 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-05-02 14:06:59,821 ] | [ INFO ] | [ root ] | Programa finalizando
[ 2020-05-02 14:08:33,977 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:08:33,985 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-05-02 14:09:38,787 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:39:05,549 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:39:47,408 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:40:32,333 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:40:32,348 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-05-02 14:46:53,447 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:46:53,454 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-05-02 14:47:29,064 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:47:29,075 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-05-02 14:50:19,356 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:50:19,361 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-05-02 14:51:06,083 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:51:06,091 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-05-02 14:51:28,509 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:51:28,519 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-05-02 14:53:11,292 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:54:02,187 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:54:29,215 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:55:34,515 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 14:57:34,530 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 15:09:15,372 ] | [ INFO ] | [ root ] | Programa finalizando
[ 2020-05-02 15:13:12,163 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 15:13:17,199 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 15:13:17,204 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-05-02 15:13:37,533 ] | [ INFO ] | [ root ] | Programa finalizando
[ 2020-05-02 15:14:31,771 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 15:14:31,781 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-05-02 15:15:37,341 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 15:15:37,354 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-05-02 15:17:35,134 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 15:17:35,139 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-05-02 15:21:45,508 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 15:21:45,508 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-05-02 15:23:29,762 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 15:23:29,767 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-05-02 15:24:15,299 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-05-02 15:24:15,314 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-07-18 15:52:59,685 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-07-18 15:53:04,317 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-07-18 15:53:13,777 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-07-18 15:53:13,781 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-07-18 15:55:07,809 ] | [ INFO ] | [ root ] | Programa finalizando
[ 2020-08-28 19:31:16,640 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-08-28 19:31:22,031 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-08-28 19:32:02,010 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-08-28 19:32:06,145 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-08-28 19:32:28,818 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-08-28 19:33:05,012 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-08-28 19:33:25,243 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-08-28 19:33:53,826 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-08-28 19:33:57,852 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2020-08-28 19:33:57,859 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2020-08-28 19:34:56,735 ] | [ INFO ] | [ root ] | Programa finalizando
[ 2022-04-28 14:39:51,540 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2022-04-28 14:39:57,342 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2022-04-28 14:40:06,153 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2022-04-28 14:40:08,100 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2022-04-28 14:40:08,104 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2022-04-28 14:45:54,838 ] | [ INFO ] | [ root ] | Iniciando D. Gen
[ 2022-04-28 14:45:54,842 ] | [ INFO ] | [ root ] | Entrada en modo interactivo
[ 2022-04-28 14:54:46,360 ] | [ INFO ] | [ root ] | Programa finalizando
